Project,Repo,Project license,Repo License,Sourcerank
Rubygems/spree_gtpay,https://github.com/vinsol-spree-contrib/Spree-GTPay,MIT,BSD-3-Clause,7
Rubygems/affiliate_window,https://github.com/reevoo/affiliate_window,MIT,BSD-3-Clause,7
Rubygems/epicmix,https://github.com/jpsilvashy/epicmix,MIT,GPL-2.0,7
Rubygems/spree_disable_cart,https://github.com/brajpratap17/spree_disable_cart,MIT,BSD-3-Clause,7
Rubygems/octohatrack,https://github.com/LABHR/octohatrack-rb,MIT,BSD-3-Clause,7
Rubygems/passman,https://github.com/alebian/passman,MIT,Apache-2.0,7
Rubygems/rubytldmap,https://github.com/linkosmos/rubytldmap,MIT,BSD-3-Clause,7
Rubygems/yz-monitor,https://github.com/basho-labs/ruby-yz-monitor,MIT,Apache-2.0,6
Rubygems/boomi-ruby,https://github.com/coupacooke/boomi-ruby,MIT,Apache-2.0,6
Rubygems/libeagle,https://github.com/aurimasniekis/libeagle,"MIT,GPL-2.0",GPL-2.0,6
Rubygems/stratumn_sdk,https://github.com/stratumn/agent-client-ruby,MIT,Apache-2.0,6
Rubygems/lint_trap,https://github.com/lintci/lint_trap,MIT,MPL-2.0,6
Rubygems/moiscot-cofee,https://github.com/moi-solutions/moiScot-coffee,MIT,Apache-2.0,6
Rubygems/jellyfish-aws,https://github.com/projectjellyfish/jellyfish-aws,MIT,Apache-2.0,6
Rubygems/yap-rawline,https://github.com/zdennis/rawline,MIT,BSD-3-Clause,6
Rubygems/cluster_eval,https://github.com/sbonisso/cluster_eval,MIT,BSD-3-Clause,6
Rubygems/spree_order_reporting,https://github.com/madetech/order_reporting,MIT,BSD-3-Clause,6
Rubygems/bintje,https://github.com/Electron-libre/bintje,MIT,AGPL-3.0,6
Rubygems/mpm,https://github.com/Port3M5/mpm,MIT,Unlicense,6
Rubygems/teamweek-ruby,https://github.com/Teamweek/teamweek-ruby,MIT,BSD-3-Clause,6
Rubygems/nationsync,https://github.com/dirk/nationsync,MIT,BSD-3-Clause,6
Rubygems/codespicuous,https://github.com/basvodde/codespicuous,MIT,BSD-3-Clause,6
Rubygems/foreman_epel_release,https://github.com/frimik/foreman_epel_release,MIT,GPL-3.0,6
Rubygems/odt2html-nsi,https://github.com/joaofeliperm/odt2html,MIT,LGPL-2.1,6
Rubygems/simpodSass,https://github.com/simPod/simpodSass,"MIT,GPL-2.0",Apache-2.0,6
Rubygems/basic_presenter,https://github.com/vinsol/basic_presenter,MIT,BSD-3-Clause,6
Rubygems/factom-ruby,https://github.com/janx/factom-ruby,MIT,BSD-3-Clause,6
Rubygems/cargowise,https://github.com/yob/cargowise,MIT,GPL-2.0,6
Rubygems/acts_as_messagable,https://github.com/Stex/acts_as_messagable,MIT,Apache-2.0,6
Rubygems/yieldbot-detailed-mailer,https://github.com/yieldbot/dhoulmagus,MIT,GPL-2.0,6
